9, 9 || 1, 1, 1, 3, 10 || 0.19565682392069558, 0.19514337047997482, 0.0005134534407207625
7, 7 || 1, 1, 1, 5, 10 || 0.11482090044182308, 0.11466085191120322, 0.00016004853061986346
8, 7 || 1, 1, 1, 5, 10 || 0.18717864446701243, 0.18713754395293025, 4.110051408218185e-05
7, 7 || 1, 1, 1, 6, 10 || 0.12208447662594189, 0.12089536597812278, 0.001189110647819111
10, 8 || 1, 1, 2, 4, 8 || 0.5493305708746774, 0.5487320867130573, 0.0005984841616201164
9, 8 || 1, 1, 2, 4, 9 || 0.36925822710093753, 0.3684050347590907, 0.0008531923418468312
8, 7 || 1, 1, 2, 4, 10 || 0.34330879174604756, 0.34183591341662334, 0.001472878329424221
8, 8 || 1, 1, 2, 4, 10 || 0.3212963795676084, 0.3190138196586717, 0.002282559908936721
8, 10 || 1, 1, 2, 4, 10 || 0.3317818799161233, 0.33069669743571944, 0.0010851824804038457
10, 8 || 1, 1, 2, 5, 8 || 0.5573571085171484, 0.5568361927417503, 0.0005209157753980342
8, 1 || 1, 1, 2, 5, 9 || 0.26422937051355566, 0.26400164288743605, 0.0002277276261196115
8, 7 || 1, 1, 2, 5, 9 || 0.33317517556369963, 0.33300226154319623, 0.00017291402050340077
9, 8 || 1, 1, 2, 5, 9 || 0.373596627601025, 0.37299814343940496, 0.0005984841616200609
10, 1 || 1, 1, 2, 5, 9 || 0.5442650646399319, 0.5439228987968407, 0.0003421658430911023
7, 3 || 1, 1, 2, 5, 10 || 0.22561225714753624, 0.2255110657914265, 0.00010119135610975327
7, 4 || 1, 1, 2, 5, 10 || 0.2233708925474276, 0.22336535420341153, 5.538344016065011e-06
7, 9 || 1, 1, 2, 5, 10 || 0.3446035848569969, 0.34459453972681087, 9.045130186013939e-06
8, 7 || 1, 1, 2, 5, 10 || 0.3482648858004972, 0.3480704274835429, 0.0001944583169543046
8, 8 || 1, 1, 2, 5, 10 || 0.32648025029952316, 0.32638254108580483, 9.77092137183222e-05
9, 1 || 1, 1, 2, 6, 7 || 0.21991203297853928, 0.21984877565744965, 6.325732108963811e-05
9, 8 || 1, 1, 2, 6, 7 || 0.4364407407386024, 0.43580964119816856, 0.0006310995404338327
8, 8 || 1, 1, 2, 6, 8 || 0.36332728455282426, 0.3623999280266008, 0.000927356526223444
9, 8 || 1, 1, 2, 6, 9 || 0.38162316524349593, 0.3811022494680979, 0.0005209157753980342
6, 8 || 1, 1, 2, 6, 10 || 0.3394424670096322, 0.3394251904279285, 1.7276581703695726e-05
7, 3 || 1, 1, 2, 6, 10 || 0.22561225714753624, 0.2255110657914265, 0.00010119135610975327
7, 4 || 1, 1, 2, 6, 10 || 0.22337089254742756, 0.22336535420341153, 5.5383440160372555e-06
7, 7 || 1, 1, 2, 6, 10 || 0.2900442150466138, 0.2898568269446658, 0.00018738810194801614
9, 1 || 1, 1, 2, 6, 10 || 0.2206128464884098, 0.22027068064531866, 0.0003421658430911301
8, 8 || 1, 1, 2, 7, 8 || 0.3711351335957276, 0.37050403405529375, 0.0006310995404338327
7, 1 || 1, 1, 2, 7, 9 || 0.16602147243040158, 0.16569457942111454, 0.00032689300928703813
8, 7 || 1, 1, 2, 7, 9 || 0.3529878862860034, 0.35170163617177547, 0.0012862501142279492
6, 1 || 1, 1, 2, 7, 10 || 0.1719611056517237, 0.1719410823164499, 2.002333527381661e-05
6, 8 || 1, 1, 2, 7, 10 || 0.33270703508588795, 0.3314879042290314, 0.0012191308568565429
7, 3 || 1, 1, 2, 7, 10 || 0.22561225714753627, 0.2255110657914265, 0.00010119135610978103
7, 4 || 1, 1, 2, 7, 10 || 0.22337089254742754, 0.22336535420341153, 5.5383440160095e-06
7, 7 || 1, 1, 2, 7, 10 || 0.2947303903099963, 0.2944755209537555, 0.00025486935624080553
8, 7 || 1, 1, 2, 7, 10 || 0.3681179124680002, 0.3667698021121221, 0.0013481103558780627
10, 8 || 1, 1, 2, 8, 9 || 0.5444358473111847, 0.5443244317681188, 0.00011141554306581813
6, 1 || 1, 1, 2, 8, 10 || 0.1683842228037028, 0.16810776913050463, 0.0002764536731981737
6, 8 || 1, 1, 2, 8, 10 || 0.3273669931060702, 0.32643963657984687, 0.000927356526223333
7, 7 || 1, 1, 2, 8, 10 || 0.3080236810801249, 0.30485504610722947, 0.0031686349728954344
