9, 9 || 1, 1, 1, 1, 4, 10 || 0.142733428087717, 0.14252152037724364, 0.000211907710473358
7, 7 || 1, 1, 1, 1, 6, 9 || 0.12154855243477033, 0.12129749624406588, 0.00025105619070445173
7, 7 || 1, 1, 1, 1, 6, 10 || 0.09392608679662835, 0.09362734106630924, 0.0002987457303191138
7, 7 || 1, 1, 1, 1, 7, 9 || 0.1287749348836177, 0.1281089199714378, 0.0006660149121798797
7, 7 || 1, 1, 1, 1, 7, 10 || 0.10121448573384018, 0.10043876479368113, 0.0007757209401590415
8, 8 || 1, 1, 1, 1, 8, 9 || 0.16840669168750438, 0.16831993973658382, 8.675195092056054e-05
8, 8 || 1, 1, 1, 1, 8, 10 || 0.11965242288807881, 0.11952970776982672, 0.00012271511825209802
8, 10 || 1, 1, 1, 2, 4, 10 || 0.34667115483574257, 0.3466075759062011, 6.357892954145239e-05
8, 7 || 1, 1, 1, 2, 5, 9 || 0.29991684546518543, 0.2997517870887674, 0.0001650583764180591
8, 8 || 1, 1, 1, 2, 5, 9 || 0.3305938522843181, 0.329771515241964, 0.000822337042354071
8, 7 || 1, 1, 1, 2, 5, 10 || 0.279006931818712, 0.27881903502519345, 0.00018789679351854938
8, 8 || 1, 1, 1, 2, 5, 10 || 0.2869809412366228, 0.28604701069842775, 0.0009339305381950713
9, 1 || 1, 1, 1, 2, 6, 7 || 0.1550317883997219, 0.15488039549472357, 0.00015139290499832647
10, 4 || 1, 1, 1, 2, 6, 7 || 0.5557375776213203, 0.5555428013885932, 0.00019477623272701194
7, 9 || 1, 1, 1, 2, 6, 9 || 0.3013210110747544, 0.30125947206785186, 6.153900690253344e-05
9, 1 || 1, 1, 1, 2, 6, 9 || 0.15053620315056393, 0.1505358400678974, 3.6308266654350163e-07
6, 10 || 1, 1, 1, 2, 6, 10 || 0.1823824014094099, 0.18227287844974255, 0.00010952295966734638
8, 1 || 1, 1, 1, 2, 7, 7 || 0.20185611274475515, 0.20159814779211466, 0.0002579649526404937
9, 4 || 1, 1, 1, 2, 7, 8 || 0.2218600380540407, 0.22166526182131358, 0.00019477623272712297
10, 4 || 1, 1, 1, 2, 7, 8 || 0.5261704641821523, 0.5259661163764524, 0.0002043478056998893
8, 7 || 1, 1, 1, 2, 7, 9 || 0.3176578398832292, 0.3172819756615085, 0.0003758642217207009
10, 4 || 1, 1, 1, 2, 7, 9 || 0.5187255828503112, 0.5187219085676179, 3.6742826933222617e-06
6, 9 || 1, 1, 1, 2, 7, 10 || 0.24949621688284418, 0.24943467787594162, 6.15390069025612e-05
8, 7 || 1, 1, 1, 2, 7, 10 || 0.2967446380437373, 0.29634922359793453, 0.0003954144458027664
7, 1 || 1, 1, 1, 2, 8, 9 || 0.1792550809537203, 0.17910368804872195, 0.00015139290499835423
9, 4 || 1, 1, 1, 2, 8, 9 || 0.19229292461487252, 0.19208857680917274, 0.00020434780569977828
9, 4 || 1, 1, 1, 2, 8, 10 || 0.18484804328303162, 0.1848443690003382, 3.6742826934055284e-06
10, 3 || 1, 1, 1, 2, 8, 10 || 0.4998412685834386, 0.4993303089685537, 0.0005109596148848983
6, 1 || 1, 1, 1, 2, 9, 10 || 0.18126659674782736, 0.181115203842829, 0.00015139290499835423
7, 4 || 1, 1, 1, 2, 9, 10 || 0.2189539773418807, 0.21875920110915362, 0.0001947762327270952
8, 4 || 1, 1, 1, 2, 9, 10 || 0.2585236718944876, 0.2583193240887878, 0.00020434780569977828
10, 2 || 1, 1, 1, 2, 9, 10 || 0.4924225468971246, 0.4923529945393844, 6.955235774019908e-05
10, 3 || 1, 1, 1, 2, 9, 10 || 0.485949428483509, 0.48491708132898925, 0.0010323471545197749
10, 4 || 1, 1, 1, 2, 9, 10 || 0.4781437175215051, 0.4757364847489377, 0.0024072327725673803
10, 5 || 1, 1, 1, 2, 9, 10 || 0.46835790111156755, 0.46689040816385685, 0.0014674929477107024
10, 6 || 1, 1, 1, 2, 9, 10 || 0.45868799086984474, 0.4586871270353934, 8.63834451358958e-07
10, 9 || 1, 1, 1, 3, 3, 9 || 0.6051521049470171, 0.6049616619518197, 0.00019044299519743735
10, 7 || 1, 1, 1, 3, 4, 8 || 0.6206158675991345, 0.6205662066272628, 4.966097187164564e-05
10, 9 || 1, 1, 1, 3, 4, 9 || 0.6082322419058153, 0.6081116982555363, 0.00012054365027891478
10, 6 || 1, 1, 1, 3, 5, 7 || 0.5477063004769814, 0.5475559900892017, 0.00015031038777968408
10, 2 || 1, 1, 1, 3, 5, 8 || 0.595379494226488, 0.5951694034517754, 0.00021009077471256798
10, 3 || 1, 1, 1, 3, 5, 8 || 0.581462972159754, 0.5803789409017368, 0.0010840312580171485
9, 7 || 1, 1, 1, 3, 5, 9 || 0.3165115307890928, 0.3164618698172211, 4.9660971871701154e-05
10, 10 || 1, 1, 1, 3, 5, 10 || 0.6103191355107823, 0.6099029642117606, 0.000416171299021717
9, 2 || 1, 1, 1, 3, 6, 7 || 0.2786030192691292, 0.27834868104177124, 0.0002543382273579864
9, 3 || 1, 1, 1, 3, 6, 7 || 0.270479290420031, 0.26946819198865923, 0.0010110984313717597
9, 9 || 1, 1, 1, 3, 6, 7 || 0.4108047135060086, 0.4107507995684931, 5.39139375155262e-05
10, 6 || 1, 1, 1, 3, 6, 7 || 0.5360238473679733, 0.5354838707041087, 0.0005399766638645165
9, 6 || 1, 1, 1, 3, 6, 8 || 0.23662961246292297, 0.23647930207514323, 0.0001503103877797396
7, 9 || 1, 1, 1, 3, 6, 9 || 0.3681792871950986, 0.3681782625380688, 1.0246570298355628e-06
9, 2 || 1, 1, 1, 3, 6, 9 || 0.24590685811852275, 0.2456967673438102, 0.00021009077471254023
9, 3 || 1, 1, 1, 3, 6, 9 || 0.23890578809070045, 0.2378217568326834, 0.0010840312580170652
10, 3 || 1, 1, 1, 3, 6, 9 || 0.5538989829819199, 0.5531850164606782, 0.0007139665212416713
6, 10 || 1, 1, 1, 3, 6, 10 || 0.28730480164594374, 0.28725839353540605, 4.64081105376879e-05
8, 7 || 1, 1, 1, 3, 6, 10 || 0.2684259792826907, 0.268376318310819, 4.9660971871701154e-05
10, 3 || 1, 1, 1, 3, 6, 10 || 0.547779877830308, 0.5470659113090663, 0.0007139665212416713
8, 2 || 1, 1, 1, 3, 7, 8 || 0.1991827611624425, 0.1989284229350845, 0.0002543382273579864
8, 3 || 1, 1, 1, 3, 7, 8 || 0.19364555484861695, 0.19263445641724516, 0.0010110984313717875
8, 9 || 1, 1, 1, 3, 7, 8 || 0.21158851370323084, 0.2115345997657153, 5.3913937515553956e-05
9, 6 || 1, 1, 1, 3, 7, 8 || 0.22494715935391474, 0.22440718269005017, 0.000539976663864572
10, 6 || 1, 1, 1, 3, 7, 8 || 0.5086196986334108, 0.5074746352479229, 0.001145063385487921
8, 6 || 1, 1, 1, 3, 7, 9 || 0.1672718372271904, 0.16712152683941073, 0.00015031038777968408
10, 6 || 1, 1, 1, 3, 7, 9 || 0.4973777490209377, 0.49737771673715525, 3.228378242514651e-08
6, 9 || 1, 1, 1, 3, 7, 10 || 0.37434265868366173, 0.3743416340266319, 1.0246570298355628e-06
7, 7 || 1, 1, 1, 3, 7, 10 || 0.2890453844262919, 0.28886969811831403, 0.00017568630797787366
8, 2 || 1, 1, 1, 3, 7, 10 || 0.16648660001183602, 0.16627650923712345, 0.00021009077471256798
8, 3 || 1, 1, 1, 3, 7, 10 || 0.16207205251928639, 0.16098802126126935, 0.0010840312580170375
9, 3 || 1, 1, 1, 3, 7, 10 || 0.21134179891286636, 0.21062783239162475, 0.0007139665212416157
10, 6 || 1, 1, 1, 3, 7, 10 || 0.491694290153143, 0.4916942578693605, 3.2283782480657663e-08
6, 8 || 1, 1, 1, 3, 8, 9 || 0.380091755769162, 0.37990284684323505, 0.00018890892592693387
7, 9 || 1, 1, 1, 3, 8, 9 || 0.36990249450033263, 0.3698485805628171, 5.39139375155262e-05
8, 6 || 1, 1, 1, 3, 8, 9 || 0.15558938411818218, 0.15504940745431767, 0.0005399766638645165
9, 6 || 1, 1, 1, 3, 8, 9 || 0.1975430106193522, 0.19639794723386422, 0.0011450633854879766
10, 6 || 1, 1, 1, 3, 8, 9 || 0.4774192659444941, 0.47732777082696143, 9.149511753264727e-05
4, 8 || 1, 1, 1, 3, 8, 10 || 0.2625875784696859, 0.2624993584590013, 8.822001068459207e-05
7, 6 || 1, 1, 1, 3, 8, 10 || 0.25459032133758597, 0.25444001094980623, 0.0001503103877797396
9, 6 || 1, 1, 1, 3, 8, 10 || 0.18630106100687913, 0.18630102872309667, 3.228378245290209e-08
10, 6 || 1, 1, 1, 3, 8, 10 || 0.4717358070766994, 0.4716443119591668, 9.149511753259176e-05
3, 8 || 1, 1, 1, 3, 9, 10 || 0.23589454348983968, 0.23564234406240447, 0.00025219942743520685
5, 8 || 1, 1, 1, 3, 9, 10 || 0.3690093802709531, 0.36882047134502616, 0.00018890892592693387
6, 2 || 1, 1, 1, 3, 9, 10 || 0.2758237503981215, 0.27556941217076353, 0.0002543382273579864
6, 3 || 1, 1, 1, 3, 9, 10 || 0.26785063865444425, 0.26683954022307244, 0.0010110984313718152
6, 9 || 1, 1, 1, 3, 9, 10 || 0.3760658659888957, 0.37601195205138016, 5.39139375155262e-05
7, 6 || 1, 1, 1, 3, 9, 10 || 0.2658754045952755, 0.26533542793141085, 0.0005399766638646275
9, 6 || 1, 1, 1, 3, 9, 10 || 0.16634257793043555, 0.16625108281290293, 9.149511753261952e-05
8, 9 || 1, 1, 1, 4, 4, 10 || 0.0981034264672028, 0.09770046265383829, 0.00040296381336450693
9, 9 || 1, 1, 1, 4, 4, 10 || 0.2561897103834752, 0.255841868605856, 0.00034784177761920665
9, 10 || 1, 1, 1, 4, 4, 10 || 0.13952225653441025, 0.1395054067741578, 1.6849760252457546e-05
9, 3 || 1, 1, 1, 4, 6, 7 || 0.2918679335868722, 0.29112835313301116, 0.0007395804538610218
9, 4 || 1, 1, 1, 4, 6, 7 || 0.28196120997087604, 0.28063541422274246, 0.0013257957481335736
9, 5 || 1, 1, 1, 4, 6, 7 || 0.2726308747312861, 0.27092930085083433, 0.0017015738804517788
9, 6 || 1, 1, 1, 4, 6, 7 || 0.2623023277968865, 0.260851123913149, 0.001451203883737484
8, 2 || 1, 1, 1, 4, 6, 8 || 0.2160613725903232, 0.21605906034016836, 2.3122501548455965e-06
8, 3 || 1, 1, 1, 4, 6, 8 || 0.20932185783368734, 0.20922502456185035, 9.683327183698798e-05
10, 6 || 1, 1, 1, 4, 6, 8 || 0.5270956466652937, 0.5270907662881398, 4.880377153959614e-06
10, 6 || 1, 1, 1, 4, 6, 9 || 0.5203501334810068, 0.5203452531038528, 4.880377153959614e-06
