9, 6 || 1, 1, 1, 1, 1, 4, 8, 9 || 0.10589892972730687, 0.10532918435960197, 0.0005697453677049047
5, 10 || 1, 1, 1, 1, 1, 4, 8, 10 || 0.32305354356104266, 0.3230535431263335, 4.347091575596096e-10
4, 10 || 1, 1, 1, 1, 1, 4, 9, 10 || 0.23628391737567478, 0.2362768453625454, 7.0720131293833255e-06
8, 7 || 1, 1, 1, 1, 1, 4, 10, 10 || 0.10378584839024228, 0.10321967764673019, 0.00056617074351209
9, 3 || 1, 1, 1, 1, 1, 5, 5, 8 || 0.1402043194353889, 0.13966357350397537, 0.0005407459314135388
10, 5 || 1, 1, 1, 1, 1, 5, 5, 8 || 0.637343301390229, 0.6373432552977225, 4.609250647824581e-08
9, 2 || 1, 1, 1, 1, 1, 5, 5, 9 || 0.12551037289293412, 0.12530414386184036, 0.00020622903109376867
9, 6 || 1, 1, 1, 1, 1, 5, 6, 7 || 0.17803013527999392, 0.17797100772962182, 5.9127550372101156e-05
9, 5 || 1, 1, 1, 1, 1, 5, 6, 9 || 0.12108460202668955, 0.12108455965154238, 4.237514716898261e-08
7, 2 || 1, 1, 1, 1, 1, 5, 7, 8 || 0.06857178231131701, 0.06834465167642872, 0.00022713063488828678
7, 4 || 1, 1, 1, 1, 1, 5, 7, 8 || 0.06460806353783531, 0.06403886878975362, 0.0005691947480816889
7, 5 || 1, 1, 1, 1, 1, 5, 7, 8 || 0.06388429544671466, 0.06316183620903029, 0.0007224592376843669
7, 6 || 1, 1, 1, 1, 1, 5, 7, 8 || 0.06363566105106146, 0.06349058502165764, 0.00014507602940382058
8, 6 || 1, 1, 1, 1, 1, 5, 7, 8 || 0.11447795690652017, 0.11441882935614808, 5.912755037208728e-05
6, 4 || 1, 1, 1, 1, 1, 5, 7, 9 || 0.09211042537750685, 0.0921091786440687, 1.2467334381538464e-06
7, 2 || 1, 1, 1, 1, 1, 5, 7, 9 || 0.08490127545664568, 0.08485135702628308, 4.9918430362602684e-05
7, 3 || 1, 1, 1, 1, 1, 5, 7, 10 || 0.04430208235499018, 0.04376133142434376, 0.0005407509306464206
7, 4 || 1, 1, 1, 1, 1, 5, 8, 8 || 0.06803957873126283, 0.06649034345697069, 0.0015492352742921406
7, 5 || 1, 1, 1, 1, 1, 5, 8, 8 || 0.06612241182783112, 0.06454377798103647, 0.0015786338467946442
7, 6 || 1, 1, 1, 1, 1, 5, 8, 8 || 0.06525282012510092, 0.06483060705922061, 0.0004222130658803058
6, 3 || 1, 1, 1, 1, 1, 5, 8, 9 || 0.09850271470196935, 0.09758408766772625, 0.0009186270342430997
6, 4 || 1, 1, 1, 1, 1, 5, 8, 9 || 0.0936747221381043, 0.09359764997294617, 7.707216515812076e-05
7, 4 || 1, 1, 1, 1, 1, 5, 8, 9 || 0.08235654767074098, 0.08200696542925721, 0.0003495822414837646
