9, 7 || 1, 1, 1, 1, 1, 5, 8 || 0.15842521365120021, 0.15822957977143084, 0.00019563387976936908
9, 7 || 1, 1, 1, 1, 1, 5, 9 || 0.12182189548611168, 0.12161994699182, 0.00020194849429168438
9, 7 || 1, 1, 1, 1, 1, 5, 10 || 0.11997706926736235, 0.11976720720527372, 0.000209862062088631
8, 7 || 1, 1, 1, 1, 1, 6, 9 || 0.12730183528117497, 0.12697658494889058, 0.0003252503322843936
8, 8 || 1, 1, 1, 1, 1, 6, 9 || 0.14268873199272716, 0.14246702434439693, 0.00022170764833023826
8, 7 || 1, 1, 1, 1, 1, 6, 10 || 0.09070662157358339, 0.09036695216927973, 0.00033966940430366077
8, 8 || 1, 1, 1, 1, 1, 6, 10 || 0.09625493310850883, 0.09600013675700919, 0.00025479635149963653
10, 4 || 1, 1, 1, 1, 2, 6, 8 || 0.5978362518809803, 0.5975301345371319, 0.00030611734384844436
8, 7 || 1, 1, 1, 1, 2, 6, 9 || 0.26791642185875936, 0.2676204313157735, 0.0002959905429858467
8, 8 || 1, 1, 1, 1, 2, 6, 9 || 0.2933233644447266, 0.2932275470509021, 9.581739382452659e-05
10, 2 || 1, 1, 1, 1, 2, 6, 9 || 0.6105732867078788, 0.6103108174652265, 0.00026246924265227456
8, 7 || 1, 1, 1, 1, 2, 6, 10 || 0.2307685676197353, 0.23044725951108525, 0.00032130810865005355
8, 8 || 1, 1, 1, 1, 2, 6, 10 || 0.25166821539603235, 0.25154070838407105, 0.000127507011961292
8, 8 || 1, 1, 1, 1, 2, 7, 9 || 0.30014517755618425, 0.30014324958894883, 1.927967235415551e-06
9, 4 || 1, 1, 1, 1, 2, 7, 9 || 0.1537906277333308, 0.1534845103894823, 0.00030611734384849987
5, 10 || 1, 1, 1, 1, 2, 7, 10 || 0.19117800369101445, 0.1911731213537044, 4.882337310052609e-06
7, 7 || 1, 1, 1, 1, 2, 7, 10 || 0.2214012516460157, 0.2205763340672714, 0.0008249175787443108
8, 8 || 1, 1, 1, 1, 2, 7, 10 || 0.2584671710579876, 0.25845641092211785, 1.0760135869758436e-05
9, 2 || 1, 1, 1, 1, 2, 7, 10 || 0.14636917971895835, 0.14610671047630613, 0.00026246924265221905
6, 7 || 1, 1, 1, 1, 2, 8, 9 || 0.2827810830354873, 0.2826554128523467, 0.00012567018314063594
10, 4 || 1, 1, 1, 1, 2, 8, 9 || 0.5508463702167414, 0.5508327261374418, 1.3644079299601763e-05
4, 10 || 1, 1, 1, 1, 2, 8, 10 || 0.18004410114564315, 0.1800364907186679, 7.610426975251938e-06
7, 7 || 1, 1, 1, 1, 2, 8, 10 || 0.2287507475319187, 0.22874121353259996, 9.533999318744879e-06
8, 4 || 1, 1, 1, 1, 2, 8, 10 || 0.21416654404455399, 0.21386042670070549, 0.00030611734384849987
3, 10 || 1, 1, 1, 1, 2, 9, 10 || 0.1893124836089313, 0.18929343859695905, 1.9045011972251835e-05
5, 7 || 1, 1, 1, 1, 2, 9, 10 || 0.3533868349469509, 0.35326116476381025, 0.00012567018314063594
9, 4 || 1, 1, 1, 1, 2, 9, 10 || 0.1172590865824401, 0.1170280614712465, 0.00023102511119359181
9, 5 || 1, 1, 1, 1, 2, 9, 10 || 0.11227847442291194, 0.11096735356062745, 0.0013111208622844928
9, 6 || 1, 1, 1, 1, 2, 9, 10 || 0.10703468971026144, 0.10604479501420923, 0.000989894696052207
10, 3 || 1, 1, 1, 1, 2, 9, 10 || 0.5279663973311476, 0.5274283311510181, 0.0005380661801295261
10, 4 || 1, 1, 1, 1, 2, 9, 10 || 0.5170896453919845, 0.5157422053745271, 0.0013474400174574575
10, 5 || 1, 1, 1, 1, 2, 9, 10 || 0.5032547460387699, 0.501327244844286, 0.001927501194483816
10, 6 || 1, 1, 1, 1, 2, 9, 10 || 0.4888699015733244, 0.4885638633146324, 0.0003060382586919652
9, 3 || 1, 1, 1, 1, 2, 10, 10 || 0.10987331076400024, 0.10974345332838584, 0.00012985743561440277
9, 4 || 1, 1, 1, 1, 2, 10, 10 || 0.10587971017398964, 0.10418661671583809, 0.001693093458151551
9, 5 || 1, 1, 1, 1, 2, 10, 10 || 0.10316538013600418, 0.09859467195910114, 0.0045707081769030405
9, 6 || 1, 1, 1, 1, 2, 10, 10 || 0.10042155687179138, 0.09625568169397336, 0.004165875177818024
10, 10 || 1, 1, 1, 1, 3, 4, 10 || 0.6811788858048178, 0.6811682140792682, 1.0671725549582511e-05
10, 6 || 1, 1, 1, 1, 3, 5, 8 || 0.5826097121676916, 0.5826040884087754, 5.6237589162178026e-06
9, 5 || 1, 1, 1, 1, 3, 6, 7 || 0.20666909477467804, 0.20644681881000773, 0.00022227596467030986
9, 6 || 1, 1, 1, 1, 3, 6, 9 || 0.16907449780443534, 0.16906887404551924, 5.62375891610678e-06
8, 10 || 1, 1, 1, 1, 3, 7, 7 || 0.08834754526205969, 0.08829353472057895, 5.401054148074236e-05
