9, 1 || 1, 1, 3, 10 || 0.18813239597073095, 0.18388459993538653, 0.00424779603534442
9, 1 || 1, 1, 4, 9 || 0.168962161790547, 0.16723961330290893, 0.0017225484876380592
8, 1 || 1, 1, 4, 10 || 0.1191079378224385, 0.11555745476450417, 0.003550483057934331
8, 8 || 1, 1, 4, 10 || 0.25480265845439687, 0.2547105702562983, 9.208819809858326e-05
8, 9 || 1, 1, 4, 10 || 0.19515202289328606, 0.19260015588465626, 0.0025518670086298045
9, 1 || 1, 1, 4, 10 || 0.19297505409299512, 0.19110699380309593, 0.0018680602898991927
7, 7 || 1, 1, 5, 10 || 0.19748244273815663, 0.1952054422019931, 0.0022770005361635315
8, 1 || 1, 1, 5, 10 || 0.1230821198768281, 0.11950485230253491, 0.0035772675742931914
8, 1 || 1, 1, 6, 10 || 0.12917017086801835, 0.12891185158755133, 0.0002583192804670176
9, 2 || 1, 1, 8, 10 || 0.23689682329021983, 0.23172542477175148, 0.005171398518468345
9, 3 || 1, 1, 8, 10 || 0.23935706724808017, 0.23470566902719742, 0.0046513982208827576
9, 4 || 1, 1, 8, 10 || 0.241973971054368, 0.2377768259625068, 0.0041971450918611986
9, 5 || 1, 1, 8, 10 || 0.24471023164326972, 0.2409448294345867, 0.0037654022086830163
9, 6 || 1, 1, 8, 10 || 0.24756885036197812, 0.24370414694728654, 0.0038647034146915837
9, 10 || 1, 1, 8, 10 || 0.21071426829184864, 0.2020181794362832, 0.008696088855565443
7, 7 || 1, 1, 9, 10 || 0.17725968987563945, 0.17653540791843408, 0.0007242819572053638
9, 9 || 1, 2, 4, 9 || 0.4673767461043635, 0.4673599051372766, 1.6840967086928504e-05
8, 9 || 1, 2, 4, 10 || 0.40178696373381234, 0.40177655109500443, 1.0412638807910657e-05
10, 1 || 1, 2, 5, 7 || 0.4158823130451116, 0.4141882172849636, 0.0016940957601480067
10, 8 || 1, 2, 5, 7 || 0.5185792293294106, 0.5185749925720076, 4.236757403019986e-06
10, 9 || 1, 2, 5, 7 || 0.5032299052649329, 0.5031334670468214, 9.643821811156084e-05
9, 1 || 1, 2, 5, 8 || 0.2850888534744118, 0.2819614586923319, 0.0031273947820799064
10, 9 || 1, 2, 5, 8 || 0.5231380200819078, 0.52313270729447, 5.312787437761202e-06
8, 1 || 1, 2, 5, 9 || 0.2851199845982065, 0.2846428355666775, 0.00047714903152895616
8, 8 || 1, 2, 5, 9 || 0.42430740990993127, 0.4242744469650235, 3.2962944907788394e-05
7, 1 || 1, 2, 5, 10 || 0.225611278253648, 0.2246656664262062, 0.0009456118274417946
9, 7 || 1, 2, 6, 7 || 0.48608945675674375, 0.4836363143545951, 0.002453142402148667
10, 7 || 1, 2, 6, 7 || 0.5472094507730343, 0.5448959717635384, 0.0023134790094958557
10, 9 || 1, 2, 6, 7 || 0.5194456672480069, 0.5190388191431946, 0.00040684810481228517
8, 7 || 1, 2, 6, 8 || 0.4151084364785937, 0.41490806044361145, 0.00020037603498224144
9, 1 || 1, 2, 6, 8 || 0.28658786385224283, 0.2848937680920949, 0.0016940957601479512
9, 8 || 1, 2, 6, 8 || 0.4838817559213936, 0.48387751916399063, 4.236757402964475e-06
9, 9 || 1, 2, 6, 8 || 0.4580250839302708, 0.4579286457121593, 9.643821811150532e-05
10, 9 || 1, 2, 6, 8 || 0.5387865556624805, 0.5382695883739639, 0.0005169672885165788
7, 7 || 1, 2, 6, 9 || 0.3609337181501324, 0.3605139077432714, 0.0004198104068610098
8, 1 || 1, 2, 6, 9 || 0.28260048556944983, 0.282459067875513, 0.00014141769393682946
9, 9 || 1, 2, 6, 9 || 0.47793319874724577, 0.47792788595980795, 5.312787437816713e-06
6, 8 || 1, 2, 6, 10 || 0.3228387485267193, 0.32271282288381475, 0.00012592564290453412
7, 1 || 1, 2, 6, 10 || 0.22276783544962983, 0.22231391660495203, 0.00045391884467779753
1, 2 || 1, 2, 7, 8 || 0.44900398128436825, 0.44624852140910437, 0.002755459875263877
